Wall time,Step,Value
1703408187.9859765,0,0.0033908169716596603
1703408205.1685243,5,0.0035340783651918173
1703408222.7120578,10,0.003716736566275358
1703408239.407457,15,0.0037901578471064568
1703408256.7597702,20,0.003808065550401807
1703408272.2969792,25,0.0037812041118741035
1703408290.5989218,30,0.003786576446145773
1703408308.793358,35,0.003729271935299039
1703408326.9298363,40,0.0036477919202297926
1703408343.7662826,45,0.0036576411221176386
1703408361.0243847,50,0.0036486873868852854
1703408366.3990405,51,0.003652268787845969
1703408372.2914615,52,0.003652268787845969
1703408377.6603642,53,0.0036504780873656273
1703408383.7102041,54,0.003641524352133274
1703408388.8767622,55,0.0036576411221176386
1703408394.8217914,56,0.003645105753093958
1703408400.0225642,57,0.003645105753093958
1703408405.7300222,58,0.0036558504216372967
1703408410.9319816,59,0.0036477919202297926
1703408416.8986533,60,0.003645105753093958
1703408421.963846,61,0.003654954954981804
1703408428.0670745,62,0.003653164254501462
1703408433.319089,63,0.0036468966864049435
1703408439.307711,64,0.003659432055428624
1703408444.7266803,65,0.0036540597211569548
1703408450.2250156,66,0.003642419585958123
1703408455.4667346,67,0.0037140503991395235
1703408461.3964248,68,0.0037149456329643726
1703408466.5230193,69,0.003729271935299039
1703408472.5232742,70,0.003729271935299039
1703408477.2479906,71,0.003729271935299039
1703408483.1461575,72,0.003729271935299039
1703408487.81077,73,0.0037337488029152155
1703408493.4967217,74,0.003729271935299039
1703408498.2431905,75,0.003729271935299039
1703408503.6471763,76,0.003729271935299039
1703408508.5220563,77,0.003729271935299039
1703408514.2733855,78,0.0037337488029152155
1703408519.4799476,79,0.003729271935299039
1703408525.158294,80,0.003729271935299039
1703408530.76006,81,0.0037247950676828623
1703408535.7609196,82,0.0037247950676828623
1703408541.6722267,83,0.0037247950676828623
1703408546.8002584,84,0.0037337488029152155
1703408552.598204,85,0.0037337488029152155
1703408557.5230727,86,0.0037256903015077114
1703408563.195918,87,0.003729271935299039
1703408568.4926825,88,0.003729271935299039
1703408574.3154905,89,0.003729271935299039
1703408579.125305,90,0.003729271935299039
1703408584.6238043,91,0.003729271935299039
1703408589.3259015,92,0.0037337488029152155
1703408595.1665103,93,0.003729271935299039
1703408599.9847732,94,0.0037418073043227196
