Wall time,Step,Value
1703408187.9859152,0,0.020910225808620453
1703408205.1684616,5,0.02165544033050537
1703408222.7119954,10,0.022755689918994904
1703408239.4073706,15,0.02322661131620407
1703408256.7596865,20,0.02334885485470295
1703408272.2969182,25,0.023233916610479355
1703408290.5988507,30,0.023197563365101814
1703408308.7932947,35,0.022877655923366547
1703408326.929773,40,0.022476915270090103
1703408343.7661858,45,0.02248423546552658
1703408361.0243204,50,0.022470349445939064
1703408366.3989682,51,0.02249537780880928
1703408372.2913823,52,0.02249537780880928
1703408377.6603,53,0.022383535280823708
1703408383.7101357,54,0.0224356260150671
1703408388.876702,55,0.022534722462296486
1703408394.8217096,56,0.022447943687438965
1703408400.0224822,57,0.022447943687438965
1703408405.7299557,58,0.02246321365237236
1703408410.9319127,59,0.022476915270090103
1703408416.8985908,60,0.022447943687438965
1703408421.96377,61,0.022463472560048103
1703408428.0670187,62,0.022523850202560425
1703408433.3190112,63,0.022457869723439217
1703408439.3076482,64,0.022497866302728653
1703408444.7266197,65,0.02246951311826706
1703408450.2249312,66,0.02235253155231476
1703408455.4666748,67,0.022784126922488213
1703408461.39634,68,0.02278711088001728
1703408466.522958,69,0.02289312146604061
1703408472.5231912,70,0.022962452843785286
1703408477.2479072,71,0.022962452843785286
1703408483.1460767,72,0.022962452843785286
1703408487.8107088,73,0.022994814440608025
1703408493.4966574,74,0.022962452843785286
1703408498.2431145,75,0.02289312146604061
1703408503.6471097,76,0.022962452843785286
1703408508.5219958,77,0.022962452843785286
1703408514.2733016,78,0.02291722223162651
1703408519.4798837,79,0.02289312146604061
1703408525.1582217,80,0.022890541702508926
1703408530.7599964,81,0.02292732149362564
1703408535.7608325,82,0.02292732149362564
1703408541.6721413,83,0.02292732149362564
1703408546.800194,84,0.022994814440608025
1703408552.5981176,85,0.022994814440608025
1703408557.5230093,86,0.022941317409276962
1703408563.1958528,87,0.022962452843785286
1703408568.4926133,88,0.02289312146604061
1703408574.3154206,89,0.022962452843785286
1703408579.1252136,90,0.022962452843785286
1703408584.623731,91,0.022962452843785286
1703408589.3258324,92,0.02298552915453911
1703408595.166428,93,0.02288970910012722
1703408599.9847062,94,0.022927099838852882
